vbs,vgs,irg,sqrt(irg)
-4,4.30E-01,4.89E-12,0.000002211831368
-4,4.40E-01,4.91E-12,0.000002216348122
-4,4.50E-01,4.93E-12,0.000002220855466
-4,4.60E-01,4.95E-12,0.00000222535368
-4,4.70E-01,4.97E-12,0.00000222984282
-4,4.80E-01,4.99E-12,0.000002234322716
-4,4.90E-01,5.01E-12,0.000002238794095
-4,5.00E-01,5.03E-12,0.000002243256338
-4,5.10E-01,5.05E-12,0.000002247709946
-4,5.20E-01,5.07E-12,0.000002252154302
-4,5.30E-01,5.09E-12,0.000002256589905
-4,5.40E-01,5.11E-12,0.000002261016807
-4,5.50E-01,5.13E-12,0.000002265435278
-4,5.60E-01,5.15E-12,0.00000226984581
-4,5.70E-01,5.17E-12,0.000002274246908
-4,5.80E-01,5.19E-12,0.000002278639506
-4,5.90E-01,5.21E-12,0.000002283023872
-4,6.00E-01,5.23E-12,0.000002287399615
-4,6.10E-01,5.25E-12,0.000002291767877
-4,6.20E-01,5.27E-12,0.000002296126956
-4,6.30E-01,5.29E-12,0.000002300477994
-4,6.40E-01,5.31E-12,0.000002304820817
-4,6.50E-01,5.33E-12,0.000002309155257
-4,6.60E-01,5.35E-12,0.000002313482224
-4,6.70E-01,5.37E-12,0.00000231780025
-4,6.80E-01,5.39E-12,0.000002322110893
-4,6.90E-01,5.41E-12,0.000002326412904
-4,7.00E-01,5.43E-12,0.000002330707832
-4,7.10E-01,5.45E-12,0.000002334994433
-4,7.20E-01,5.47E-12,0.000002339273391
-4,7.30E-01,5.49E-12,0.000002343544324
-4,7.40E-01,5.51E-12,0.000002347807062
-4,7.50E-01,5.53E-12,0.000002352062924
-4,7.60E-01,5.55E-12,0.000002356310676
-4,7.70E-01,5.57E-12,0.00000236055036
-4,7.80E-01,5.59E-12,0.000002364783077
-4,7.90E-01,5.61E-12,0.000002369008231
-4,8.00E-01,5.63E-12,0.000002373225232
-4,8.10E-01,5.65E-12,0.000002377435383
-4,8.20E-01,5.67E-12,0.000002381637462
-4,8.30E-01,5.69E-12,0.000002385832769
-4,8.40E-01,5.71E-12,0.000002390020711
-4,8.50E-01,5.73E-12,0.000002394201119
-4,8.60E-01,5.75E-12,0.000002398374241
-4,8.70E-01,5.77E-12,0.000002402539906
-4,8.80E-01,5.79E-12,0.000002406698569
-4,8.90E-01,5.81E-12,0.000002410850058
-4,9.00E-01,5.83E-12,0.000002415004762
-4,9.10E-01,5.85E-12,0.000002419141997
-4,9.20E-01,5.87E-12,0.000002423271755
-4,9.30E-01,5.89E-12,0.000002427395518
-4,9.40E-01,5.91E-12,0.000002431512081
-4,9.50E-01,5.93E-12,0.000002435621071
-4,9.60E-01,5.95E-12,0.00000243972314
-4,9.70E-01,5.97E-12,0.000002443818733
-4,9.80E-01,5.99E-12,0.000002447906861
-4,9.90E-01,6.01E-12,0.000002451999592
-4,1.00E+00,6.03E-12,0.000002456073492
-4,1.01E+00,6.05E-12,0.000002460141053
-4,1.02E+00,6.07E-12,0.000002464212856
-4,1.03E+00,6.09E-12,0.000002468278752
-4,1.04E+00,6.11E-12,0.000002472336142
-4,1.05E+00,6.13E-12,0.000002476386884
-4,1.06E+00,6.15E-12,0.000002480442702
